"DATE_TIME" "LONGITUDE" "LATITUDE" "GEOHASH" "MINIMUM_SPEED" "MAXIMUM_SPEED" "AVERAGE_SPEED" "NUMBER_OF_VEHICLES"
"2021-03-04 18:00:00" 28.9105224609375 41.2344360351562 "sxkd9f" 40 158 95 112
"2021-03-02 21:00:00" 29.3499755859375 41.0861206054688 "sxkcez" 29 113 73 21
"2021-03-04 15:00:00" 28.2403564453125 41.0861206054688 "sxk1dx" 26 75 52 18
"2021-03-01 18:00:00" 28.9544677734375 41.0696411132812 "sxk9du" 5 124 33 227
"2021-03-03 13:00:00" 29.1851806640625 40.8938598632812 "sxkb8h" 5 49 23 70
"2021-03-02 01:00:00" 28.1524658203125 41.1410522460938 "sxk409" 52 113 80 21
"2021-03-03 04:00:00" 29.1961669921875 41.0147094726562 "sxkc26" 7 122 49 37
"2021-03-01 18:00:00" 29.0643310546875 40.9927368164062 "sxk9jq" 2 92 22 221
"2021-03-01 07:00:00" 29.1302490234375 41.1190795898438 "sxk9yv" 12 91 56 49
"2021-03-01 20:00:00" 27.9766845703125 40.9872436523438 "sx7cht" 8 79 36 26
"2021-03-04 01:00:00" 28.8116455078125 41.0916137695312 "sxk3z8" 17 132 81 93
"2021-03-03 03:00:00" 28.3062744140625 41.0641479492188 "sxk1s5" 53 132 82 13
"2021-03-02 00:00:00" 28.6248779296875 41.0421752929688 "sxk37r" 1 102 54 52
"2021-03-04 06:00:00" 28.0316162109375 41.2673950195312 "sx7fvb" 35 114 63 19
"2021-03-03 08:00:00" 28.8775634765625 41.0037231445312 "sxk930" 3 78 26 92
"2021-03-02 19:00:00" 29.2840576171875 41.0531616210938 "sxkcd3" 56 104 81 14
"2021-03-01 17:00:00" 28.9654541015625 41.0586547851562 "sxk9e4" 1 101 27 357
"2021-03-02 13:00:00" 28.9434814453125 41.1135864257812 "sxk9fs" 8 105 67 128
"2021-03-01 21:00:00" 29.1961669921875 40.8938598632812 "sxkb8k" 3 76 31 60
"2021-03-04 00:00:00" 29.3060302734375 41.0641479492188 "sxkcdg" 51 101 75 21
"2021-03-04 10:00:00" 29.0643310546875 41.0531616210938 "sxk9t3" 12 52 34 14
"2021-03-01 11:00:00" 28.6688232421875 41.0476684570312 "sxk3s2" 4 79 39 76
"2021-03-01 16:00:00" 28.7896728515625 41.1080932617188 "sxk3z5" 20 97 50 27
"2021-03-04 14:00:00" 29.0753173828125 41.0421752929688 "sxk9mx" 2 59 27 32
"2021-03-02 12:00:00" 28.8665771484375 41.1135864257812 "sxk9bu" 9 77 46 72
"2021-03-01 07:00:00" 29.3719482421875 40.8389282226562 "sxkbk6" 58 137 93 187
"2021-03-04 12:00:00" 29.0203857421875 41.2234497070312 "sxkds2" 62 151 89 152
"2021-03-04 16:00:00" 28.8226318359375 41.0256958007812 "sxk3ru" 6 55 24 73
"2021-03-04 12:00:00" 29.1851806640625 40.9158325195312 "sxkbb0" 6 118 66 188
"2021-03-01 12:00:00" 29.2730712890625 41.0531616210938 "sxkcd1" 47 151 87 186
"2021-03-01 14:00:00" 28.9654541015625 41.1355590820312 "sxkd50" 7 80 37 20
"2021-03-02 14:00:00" 28.9544677734375 41.0751342773438 "sxk9dv" 5 101 41 302
"2021-03-03 18:00:00" 28.9215087890625 41.0421752929688 "sxk96p" 5 52 21 86
"2021-03-01 21:00:00" 29.0093994140625 41.0037231445312 "sxk9k0" 43 66 51 11
"2021-03-03 03:00:00" 29.4158935546875 40.8389282226562 "sxkbm6" 9 133 81 110
"2021-03-01 04:00:00" 27.9876708984375 41.0202026367188 "sx7ckg" 49 115 83 11
"2021-03-04 23:00:00" 29.0643310546875 41.0366821289062 "sxk9mq" 6 65 26 23
"2021-03-03 18:00:00" 28.8555908203125 41.0092163085938 "sxk929" 1 30 13 76
"2021-03-01 07:00:00" 28.8446044921875 41.1190795898438 "sxk9bm" 2 81 47 90
"2021-03-01 07:00:00" 29.0863037109375 41.0806274414062 "sxk9ty" 9 88 51 50
"2021-03-01 01:00:00" 29.3499755859375 40.9268188476562 "sxkbgf" 41 126 76 118
"2021-03-03 03:00:00" 28.4051513671875 41.0586547851562 "sxk1w6" 37 148 78 21
"2021-03-02 20:00:00" 29.1302490234375 41.0256958007812 "sxk9qu" 4 96 46 296
"2021-03-03 22:00:00" 28.8116455078125 41.0476684570312 "sxk3x8" 6 138 59 241
"2021-03-01 08:00:00" 29.2950439453125 40.8718872070312 "sxkbd8" 16 120 85 159
"2021-03-01 09:00:00" 28.7677001953125 40.9872436523438 "sxk3nt" 1 93 33 376
"2021-03-03 14:00:00" 28.6358642578125 41.0202026367188 "sxk37e" 10 100 52 168
